testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
self1	SubjMan-woman-Not-Historical_randomA	SubjMan-woman-Not-Historical_randomB					1975.635	1975.51	0.715	0.775	0.86	0.85	1.07119898748	1.14809776575	0.994300209203	-0.11	-0.075	-0.145
crossBA	SubjMan-woman-Not-Historical_randomB	Historical-Not-SubjMan-woman_randomA					1975.51	1985.57	0.775	0.845	0.435	0.395	-0.378986685932	-0.418137698093	-0.33983567377	0.395	0.45	0.34
self2	Historical-Not-SubjMan-woman_randomA	Historical-Not-SubjMan-woman_randomB					1985.57	1985.575	0.845	0.785	0.94	0.865	1.32353381235	1.20637859801	1.44068902669	-0.0875	-0.08	-0.095
crossAB	SubjMan-woman_randomA	SubjDetective_randomB					1976.62	1978.355	0.755	0.915	0.42	0.36	-0.368901968759	-0.484923190541	-0.252880746977	0.445	0.555	0.335
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjDetective_randomA					1976.62	1978.085	0.785	0.875	0.45	0.41	-0.19036264579	-0.17990455638	-0.200820735199	0.4	0.465	0.335
self2	SubjDetective_randomA	SubjDetective_randomB					1978.085	1978.355	0.875	0.915	0.865	0.96	1.64382159825	1.66187100544	1.62577219105	-0.0175	-0.045	0.01
crossAB	SubjMan-woman-Not-Domestic_randomA	Domestic-Not-SubjMan-woman_randomB					1975.64141414	1993.07	0.737373737374	0.73	0.631313131313	0.62	0.673791835399	0.646870945145	0.700712725653	0.10803030303	0.11	0.106060606061
self1	SubjMan-woman-Not-Domestic_randomA	SubjMan-woman-Not-Domestic_randomB					1975.64141414	1975.51010101	0.737373737374	0.767676767677	0.878787878788	0.838383838384	0.926802640747	0.924929662245	0.92867561925	-0.106060606061	-0.0707070707071	-0.141414141414
crossBA	SubjMan-woman-Not-Domestic_randomB	Domestic-Not-SubjMan-woman_randomA					1975.51010101	1993.675	0.767676767677	0.715	0.59595959596	0.565	0.365392358799	0.334201068421	0.396583649176	0.160858585859	0.15	0.171717171717
self2	Domestic-Not-SubjMan-woman_randomA	Domestic-Not-SubjMan-woman_randomB					1993.675	1993.07	0.715	0.73	0.755	0.84	0.756226824952	0.807287516767	0.705166133137	-0.075	-0.11	-0.04
crossAB	SubjMan-woman_randomA	Horror_randomB					1976.62	1989.3	0.755	0.905	0.435	0.34	-0.209037928839	-0.318955544791	-0.0991203128872	0.4425	0.565	0.32
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Horror_randomA					1976.62	1991.42	0.785	0.85	0.455	0.415	-0.160459831626	-0.109899561792	-0.211020101459	0.3825	0.435	0.33
self2	Horror_randomA	Horror_randomB					1991.42	1989.3	0.85	0.905	0.88	0.95	1.3477431493	1.39662576079	1.29886053782	-0.0375	-0.045	-0.03
crossAB	SubjMan-woman_randomA	Christian_randomB					1976.62	1972.975	0.755	0.82	0.595	0.54	0.231659198454	0.156868576975	0.306449819934	0.22	0.28	0.16
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Christian_randomA					1976.62	1972.54	0.785	0.87	0.515	0.45	0.00439475163368	-0.0548016633744	0.0635911666417	0.345	0.42	0.27
self2	Christian_randomA	Christian_randomB					1972.54	1972.975	0.87	0.82	0.945	0.92	1.2218355415	1.14149792001	1.30217316299	-0.0875	-0.1	-0.075
crossAB	SubjMan-woman_randomA	Juvenile_randomB					1976.62	1892.49	0.755	0.81	0.46	0.415	-0.359660370039	-0.526674643655	-0.192646096422	0.345	0.395	0.295
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Juvenile_randomA					1976.62	1892.295	0.785	0.81	0.465	0.425	-0.390452343645	-0.457706012666	-0.323198674625	0.3525	0.385	0.32
self2	Juvenile_randomA	Juvenile_randomB					1892.295	1892.49	0.81	0.81	0.87	0.91	1.18767191376	1.17019167943	1.2051521481	-0.08	-0.1	-0.06
crossAB	SubjMan-woman_randomA	Western_randomB					1976.62	1967.605	0.755	0.895	0.475	0.43	-0.224592246284	-0.351487914396	-0.0976965781716	0.3725	0.465	0.28
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Western_randomA					1976.62	1967.53	0.785	0.895	0.5	0.445	-0.15401719964	-0.201852999085	-0.106181400194	0.3675	0.45	0.285
self2	Western_randomA	Western_randomB					1967.53	1967.605	0.895	0.895	0.925	0.95	1.70650913857	1.71768309724	1.69533517991	-0.0425	-0.055	-0.03
crossAB	SubjMan-woman_randomA	SubjJuvenile_randomB					1976.62	1910.375	0.755	0.83	0.46	0.47	-0.406488348011	-0.572181286509	-0.240795409514	0.3275	0.36	0.295
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjJuvenile_randomA					1976.62	1910.43	0.785	0.835	0.48	0.405	-0.328454013516	-0.547939044401	-0.108968982631	0.3675	0.43	0.305
self2	SubjJuvenile_randomA	SubjJuvenile_randomB					1910.43	1910.375	0.835	0.83	0.865	0.925	1.63980377352	1.54494951658	1.73465803045	-0.0625	-0.095	-0.03
crossAB	SubjMan-woman-Not-Political_randomA	Political-Not-SubjMan-woman_randomB					1976.55	1988.565	0.72	0.77	0.505	0.46	-0.0545446603708	-0.198482912062	0.0893935913202	0.2625	0.31	0.215
self1	SubjMan-woman-Not-Political_randomA	SubjMan-woman-Not-Political_randomB					1976.55	1976.465	0.72	0.74	0.835	0.815	0.84828971891	0.879959758519	0.816619679301	-0.095	-0.075	-0.115
crossBA	SubjMan-woman-Not-Political_randomB	Political-Not-SubjMan-woman_randomA					1976.465	1988.365	0.74	0.75	0.49	0.52	0.0422339923104	0.115823039665	-0.0313550550444	0.24	0.23	0.25
self2	Political-Not-SubjMan-woman_randomA	Political-Not-SubjMan-woman_randomB					1988.365	1988.565	0.75	0.77	0.805	0.87	0.935912350567	1.0291963921	0.842628309033	-0.0775	-0.1	-0.055
crossAB	SubjMan-woman-Not-Shortstories_randomA	Shortstories-Not-SubjMan-woman_randomB					1976.61	1986.37	0.765	0.685	0.365	0.395	-0.246942136774	-0.218208483086	-0.275675790461	0.345	0.29	0.4
self1	SubjMan-woman-Not-Shortstories_randomA	SubjMan-woman-Not-Shortstories_randomB					1976.61	1976.655	0.765	0.76	0.88	0.855	1.03970927197	1.05941311602	1.02000542791	-0.105	-0.095	-0.115
