testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
self2	SubjShortstoriesAmericanB_randomA	SubjShortstoriesAmericanB_randomB					1967.195	1967.165	0.785	0.795	0.815	0.815	1.21208159042	1.10254138489	1.32162179596	-0.025	-0.02	-0.03
crossAB	SubjHistory_randomA	SubjHistoryB_randomB					1928.295	1927.6122449	0.79	0.739795918367	0.715	0.724489795918	0.941461352301	0.92948918518	0.953433519423	0.0451530612245	0.015306122449	0.075
self1	SubjHistory_randomA	SubjHistory_randomB					1928.295	1927.825	0.79	0.82	0.85	0.885	1.24250779798	1.29148125477	1.1935343412	-0.0625	-0.065	-0.06
crossBA	SubjHistory_randomB	SubjHistoryB_randomA					1927.825	1926.75252525	0.82	0.737373737374	0.74	0.70202020202	1.25269892264	1.2189193521	1.28647849319	0.0576767676768	0.0353535353535	0.08
self2	SubjHistoryB_randomA	SubjHistoryB_randomB					1926.75252525	1927.6122449	0.737373737374	0.739795918367	0.757575757576	0.770408163265	1.62998516998	1.53040659115	1.72956374882	-0.02540713255	-0.030612244898	-0.020202020202
crossAB	SubjShortstoriesOther_randomA	SubjShortstoriesOtherB_randomB					1974.585	1976.255	0.78	0.765	0.69	0.7	0.671811874021	0.634337988904	0.709285759137	0.0775	0.065	0.09
self1	SubjShortstoriesOther_randomA	SubjShortstoriesOther_randomB					1974.585	1974.32	0.78	0.78	0.825	0.82	1.21893698536	1.22771083363	1.21016313709	-0.0425	-0.04	-0.045
crossBA	SubjShortstoriesOther_randomB	SubjShortstoriesOtherB_randomA					1974.32	1976.23	0.78	0.775	0.8	0.785	1.22514800717	1.18733893754	1.2629570768	-0.015	-0.01	-0.02
self2	SubjShortstoriesOtherB_randomA	SubjShortstoriesOtherB_randomB					1976.23	1976.255	0.775	0.765	0.825	0.795	1.00297580208	1.00319825658	1.00275334759	-0.04	-0.03	-0.05
crossAB	SubjSFAmerican_randomA	SubjSFAmericanB_randomB					1982.785	1982.395	0.9	0.93	0.855	0.92	1.36958844917	1.46337681286	1.27580008548	0.0275	0.01	0.045
self1	SubjSFAmerican_randomA	SubjSFAmerican_randomB					1982.785	1981.345	0.9	0.92	0.885	0.945	1.37977533051	1.38713092113	1.37241973989	-0.005	-0.025	0.015
crossBA	SubjSFAmerican_randomB	SubjSFAmericanB_randomA					1981.345	1982.18	0.92	0.89	0.93	0.865	1.44105674118	1.40504911657	1.4770643658	0.0075	0.025	-0.01
self2	SubjSFAmericanB_randomA	SubjSFAmericanB_randomB					1982.18	1982.395	0.89	0.93	0.88	0.955	1.53160231362	1.45982930372	1.60337532352	-0.0075	-0.025	0.01
crossAB	SubjFantasy_randomA	SubjFantasyB_randomB					1983.555	1974.385	0.84	0.865	0.83	0.85	1.34298909721	1.31904470395	1.36693349047	0.0125	0.015	0.01
self1	SubjFantasy_randomA	SubjFantasy_randomB					1983.555	1983.5	0.84	0.885	0.885	0.945	1.38533890171	1.40085648128	1.36982132215	-0.0525	-0.06	-0.045
crossBA	SubjFantasy_randomB	SubjFantasyB_randomA					1983.5	1974.575	0.885	0.875	0.835	0.835	1.42642699991	1.40404870661	1.4488052932	0.045	0.04	0.05
self2	SubjFantasyB_randomA	SubjFantasyB_randomB					1974.575	1974.385	0.875	0.865	0.915	0.91	1.38547888812	1.43206401901	1.33889375723	-0.0425	-0.045	-0.04
