testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
crossAB	Fantasy_randomA	SubjJuvenile_randomB					1995.69	1910.375	0.865	0.83	0.51	0.5	-0.0711581501544	-0.157578866851	0.0152625665417	0.3425	0.33	0.355
self1	Fantasy_randomA	Fantasy_randomB					1995.69	1995.81	0.865	0.865	0.92	0.94	1.42098926621	1.43357949264	1.40839903977	-0.065	-0.075	-0.055
crossBA	Fantasy_randomB	SubjJuvenile_randomA					1995.81	1910.43	0.865	0.835	0.48	0.55	0.0652489456175	0.187356504812	-0.0568586135775	0.335	0.285	0.385
self2	SubjJuvenile_randomA	SubjJuvenile_randomB					1910.43	1910.375	0.835	0.83	0.865	0.925	1.63980377352	1.54494951658	1.73465803045	-0.0625	-0.095	-0.03
crossAB	Fantasy_randomA	Political_randomB					1995.69	1988.25	0.865	0.785	0.46	0.52	0.0442110480289	0.125649213948	-0.0372271178906	0.335	0.265	0.405
self1	Fantasy_randomA	Fantasy_randomB					1995.69	1995.81	0.865	0.865	0.92	0.94	1.42098926621	1.43357949264	1.40839903977	-0.065	-0.075	-0.055
crossBA	Fantasy_randomB	Political_randomA					1995.81	1988.255	0.865	0.785	0.49	0.495	0.0890282416434	0.139077780678	0.038978702609	0.3325	0.29	0.375
self2	Political_randomA	Political_randomB					1988.255	1988.25	0.785	0.785	0.86	0.875	1.11304259133	1.08200069452	1.14408448814	-0.0825	-0.09	-0.075
crossAB	Fantasy-Not-Shortstories_randomA	Shortstories-Not-Fantasy_randomB					1995.715	1985.845	0.84	0.64	0.56	0.505	0.121770085559	0.0945006630471	0.14903950807	0.2075	0.135	0.28
self1	Fantasy-Not-Shortstories_randomA	Fantasy-Not-Shortstories_randomB					1995.715	1996.165	0.84	0.85	0.89	0.895	1.29946421846	1.24171195907	1.35721647785	-0.0475	-0.045	-0.05
crossBA	Fantasy-Not-Shortstories_randomB	Shortstories-Not-Fantasy_randomA					1996.165	1985.41	0.85	0.68	0.51	0.53	0.0465204590106	0.161608384417	-0.0685674663958	0.245	0.15	0.34
self2	Shortstories-Not-Fantasy_randomA	Shortstories-Not-Fantasy_randomB					1985.41	1985.845	0.68	0.64	0.78	0.735	1.05660551047	0.99327060962	1.11994041132	-0.0975	-0.095	-0.1
crossAB	Fantasy_randomA	Bildungsroman_randomB					1995.69	1977.27	0.865	0.695	0.445	0.46	-0.205009504709	-0.156757896605	-0.253261112813	0.3275	0.235	0.42
self1	Fantasy_randomA	Fantasy_randomB					1995.69	1995.81	0.865	0.865	0.92	0.94	1.42098926621	1.43357949264	1.40839903977	-0.065	-0.075	-0.055
crossBA	Fantasy_randomB	Bildungsroman_randomA					1995.81	1977.335	0.865	0.705	0.38	0.465	-0.325981588603	-0.176925633999	-0.475037543208	0.3625	0.24	0.485
self2	Bildungsroman_randomA	Bildungsroman_randomB					1977.335	1977.27	0.705	0.695	0.805	0.795	0.729741819614	0.68706144284	0.772422196389	-0.1	-0.1	-0.1
crossAB	Fantasy_randomA	Love_randomB					1995.69	1983.285	0.865	0.715	0.615	0.49	0.068468234539	-0.0683881235789	0.205324592657	0.2375	0.225	0.25
crossAB	SubjDetective_randomA	Novel_randomB					1978.085	1981.81	0.875	0.55	0.61	0.53	0.389463335362	0.393688121666	0.385238549058	0.1425	0.02	0.265
self1	Fantasy_randomA	Fantasy_randomB					1995.69	1995.81	0.865	0.865	0.92	0.94	1.42098926621	1.43357949264	1.40839903977	-0.065	-0.075	-0.055
crossBA	Fantasy_randomB	Love_randomA					1995.81	1982.71	0.865	0.715	0.555	0.515	0.0566436406251	-0.0140232697216	0.127310550972	0.255	0.2	0.31
self1	SubjDetective_randomA	SubjDetective_randomB					1978.085	1978.355	0.875	0.915	0.865	0.96	1.64382159825	1.66187100544	1.62577219105	-0.0175	-0.045	0.01
self2	Love_randomA	Love_randomB					1982.71	1983.285	0.715	0.715	0.835	0.87	0.851039202468	0.90258029252	0.799498112416	-0.1375	-0.155	-0.12
crossBA	SubjDetective_randomB	Novel_randomA					1978.355	1981.895	0.915	0.595	0.51	0.545	0.175023036811	0.227808829045	0.122237244576	0.2275	0.05	0.405
self2	Novel_randomA	Novel_randomB					1981.895	1981.81	0.595	0.55	0.715	0.79	0.357723128542	0.187146815899	0.528299441185	-0.18	-0.24	-0.12
crossAB	Fantasy-Not-SubjHorror_randomA	SubjHorror-Not-Fantasy_randomB					1995.655	1975.925	0.85	0.905	0.67	0.655	0.684016976973	0.618614682695	0.749419271251	0.215	0.25	0.18
crossAB	SubjDetective_randomA	Psychological_randomB					1978.085	1996.46	0.875	0.73	0.55	0.525	0.222411185936	0.227448791166	0.217373580706	0.265	0.205	0.325
self1	Fantasy-Not-SubjHorror_randomA	Fantasy-Not-SubjHorror_randomB					1995.655	1995.8	0.85	0.88	0.91	0.915	1.42996180738	1.4613214604	1.39860215435	-0.0475	-0.035	-0.06
self1	SubjDetective_randomA	SubjDetective_randomB					1978.085	1978.355	0.875	0.915	0.865	0.96	1.64382159825	1.66187100544	1.62577219105	-0.0175	-0.045	0.01
crossBA	Fantasy-Not-SubjHorror_randomB	SubjHorror-Not-Fantasy_randomA					1995.8	1975.815	0.88	0.915	0.615	0.71	0.595833137902	0.671582142172	0.520084133633	0.235	0.205	0.265
crossBA	SubjDetective_randomB	Psychological_randomA					1978.355	1996.435	0.915	0.725	0.43	0.465	0.0318355568329	0.0455861902046	0.0180849234611	0.3725	0.26	0.485
self2	SubjHorror-Not-Fantasy_randomA	SubjHorror-Not-Fantasy_randomB					1975.815	1975.925	0.915	0.905	0.93	0.95	1.74885813985	1.68246600044	1.81525027927	-0.03	-0.045	-0.015
self2	Psychological_randomA	Psychological_randomB					1996.435	1996.46	0.725	0.73	0.805	0.82	0.704504438063	0.638968936862	0.770039939265	-0.085	-0.09	-0.08
crossAB	Fantasy-Not-War_randomA	War-Not-Fantasy_randomB					1995.915	1970.47	0.87	0.855	0.61	0.535	0.499252063402	0.335693239152	0.662810887653	0.29	0.32	0.26
crossAB	SubjDetective_randomA	SubjHumor_randomB					1978.085	1924.1	0.875	0.945	0.515	0.51	0.31842925162	0.300536815278	0.336321687962	0.3975	0.435	0.36
